注文コード,注文日時,会員番号,お名前,メール,郵便番号,住所,TEL,商品コード,商品名,価格,数量
11,  2020-11-14 08:39:32,  0,  大根,  toda.minato1029@gmail.com,  244-0804,  戸塚区前田町47-3　前田町市街地住宅313号室,  09076978596,  3,  きゅうり,  20,  1
12,  2020-11-14 08:40:56,  0,  大根,  toda.minato1029@gmail.com,  244-0804,  戸塚区前田町47-3　前田町市街地住宅313号室,  09076978596,  3,  きゅうり,  20,  1
13,  2020-11-14 08:41:24,  0,  大根,  toda.minato1029@gmail.com,  244-0804,  戸塚区前田町47-3　前田町市街地住宅313号室,  09076978596,  3,  きゅうり,  20,  1
14,  2020-11-14 08:41:51,  0,  大根,  toda.minato1029@gmail.com,  244-0804,  戸塚区前田町47-3　前田町市街地住宅313号室,  09076978596,  3,  きゅうり,  20,  1
15,  2020-11-14 08:55:18,  0,  大根,  toda.minato1029@gmail.com,  244-0804,  戸塚区前田町47-3　前田町市街地住宅313号室,  09076978596,  3,  きゅうり,  20,  1
16,  2020-11-14 08:56:22,  0,  大根,  toda.minato1029@gmail.com,  244-0804,  戸塚区前田町47-3　前田町市街地住宅313号室,  09076978596,  3,  きゅうり,  20,  1
11,  2020-11-14 08:39:32,  0,  大根,  toda.minato1029@gmail.com,  244-0804,  戸塚区前田町47-3　前田町市街地住宅313号室,  09076978596,  5,  大根,  50,  1
12,  2020-11-14 08:40:56,  0,  大根,  toda.minato1029@gmail.com,  244-0804,  戸塚区前田町47-3　前田町市街地住宅313号室,  09076978596,  5,  大根,  50,  1
13,  2020-11-14 08:41:24,  0,  大根,  toda.minato1029@gmail.com,  244-0804,  戸塚区前田町47-3　前田町市街地住宅313号室,  09076978596,  5,  大根,  50,  1
14,  2020-11-14 08:41:51,  0,  大根,  toda.minato1029@gmail.com,  244-0804,  戸塚区前田町47-3　前田町市街地住宅313号室,  09076978596,  5,  大根,  50,  1
15,  2020-11-14 08:55:18,  0,  大根,  toda.minato1029@gmail.com,  244-0804,  戸塚区前田町47-3　前田町市街地住宅313号室,  09076978596,  5,  大根,  50,  1
16,  2020-11-14 08:56:22,  0,  大根,  toda.minato1029@gmail.com,  244-0804,  戸塚区前田町47-3　前田町市街地住宅313号室,  09076978596,  5,  大根,  50,  1
